Town_proper,slug,Town_upper,birthrate,deathrate,pop2012,pop2016,births2016,deaths2016,change5yr
Kirby,KIRBY,KIRBY,0.485048425,0.688952929,490,490,3,4,0
Landgrove,LANDGROVE,LANDGROVE,0.755523048,1.131309211,159,159,0,0,0
Leicester,LEICESTER,LEICESTER,0.701814913,0.900686764,1109,1100,5,10,-0.008115419
Lemington,LEMINGTON,LEMINGTON,0.796039604,0.792156863,102,100,2,2,-0.019607843
Lincoln,LINCOLN,LINCOLN,0.757208325,0.819850336,1266,1260,11,8,-0.004739336
Londonderry,LONDONDERRY,LONDONDERRY,0.937253862,0.881857244,1762,1712,11,15,-0.028376844
Lowell,LOWELL,LOWELL,1.053732305,0.790992105,871,827,12,4,-0.050516648
Ludlow,LUDLOW,LUDLOW,0.776303334,1.555721032,1945,1903,12,34,-0.02159383
Lunenburg,LUNENBURG,LUNENBURG,1.105479604,1.166674986,1287,1305,12,16,0.013986014
Lyndon,LYNDON,LYNDON,0.888322471,1.076893526,5969,5830,64,60,-0.023286983
Maidstone,MAIDSTONE,MAIDSTONE,0.592122888,0.490214927,206,201,1,0,-0.024271845
Manchester,MANCHESTER,MANCHESTER,0.716559073,1.252602934,4339,4312,31,53,-0.006222632
Marlboro,MARLBORO,MARLBORO,0.622460861,0.470672938,1069,1050,11,6,-0.01777362
Marshfield,MARSHFIELD,MARSHFIELD,0.944144163,0.66064794,1567,1524,10,14,-0.02744097
Mendon,MENDON,MENDON,0.769474583,0.769148425,1051,1022,9,7,-0.027592769
Middlebury,MIDDLEBURY,MIDDLEBURY,0.63656991,1.031581267,8477,8654,56,99,0.020880028
Middlesex,MIDDLESEX,MIDDLESEX,0.798243877,0.421888117,1756,1747,13,7,-0.005125285
Middletown Springs,MIDDLETOWNSPRINGS,MIDDLETOWN SPRINGS,0.895586134,0.760783137,741,740,5,6,-0.001349528
Milton,MILTON,MILTON,1.153473521,0.656241717,10526,10759,116,70,0.022135664
Monkton,MONKTON,MONKTON,0.66448816,0.352122724,2015,2083,15,6,0.033746898
Montgomery,MONTGOMERY,MONTGOMERY,1.187277631,0.785925658,1197,1197,14,10,0
Montpelier,MONTPELIER,MONTPELIER,0.969744914,1.022126772,7787,7535,60,67,-0.032361628
Moretown,MORETOWN,MORETOWN,1.009580734,0.70919367,1666,1665,17,12,-0.00060024
Morgan,MORGAN,MORGAN,0.920853166,0.896044705,746,715,5,8,-0.04155496
Morristown,MORRISTOWN,MORRISTOWN,0.937793467,1.090222024,5335,5440,59,64,0.01968135
Mount Holly,MOUNTHOLLY,MOUNT HOLLY,0.928766526,0.798484044,1229,1235,12,10,0.004882018
Mount Tabor,MOUNTTABOR,MOUNT TABOR,0.546578192,0.468757181,254,257,3,2,0.011811024
New Haven,NEWHAVEN,NEW HAVEN,0.907608457,0.620587092,1747,1735,13,8,-0.006868918
Newark,NEWARK,NEWARK,0.412917552,0.515481654,581,585,3,6,0.006884682
Newbury,NEWBURY,NEWBURY,0.890530136,1.000322103,2212,2175,19,25,-0.016726944
Newfane,NEWFANE,NEWFANE,0.928991203,0.885131314,1697,1645,11,18,-0.03064231
Newport City,NEWPORTCITY,NEWPORT CITY,1.196625379,1.571521698,4530,4328,48,71,-0.044591611
Newport Town,NEWPORTTOWN,NEWPORT TOWN,0.870258828,0.82879397,1751,2540,19,15,0.450599657
North Hero,NORTHHERO,NORTH HERO,0.724506663,0.776394828,803,791,4,9,-0.01494396
Northfield,NORTHFIELD,NORTHFIELD,0.673807317,0.847057656,6185,6042,41,48,-0.023120453
Norton,NORTON,NORTON,0.246212121,1.121212121,165,159,0,0,-0.036363636
Norwich,NORWICH,NORWICH,0.532543695,0.455388305,3393,3353,18,11,-0.011788977
Orange,ORANGE,ORANGE,0.685887175,0.815872799,1075,1094,10,12,0.017674419
Orwell,ORWELL,ORWELL,1.092638771,0.722536709,1245,1239,19,8,-0.004819277
Panton,PANTON,PANTON,0.857684679,0.857850679,670,680,7,7,0.014925373
Pawlet,PAWLET,PAWLET,1.014028907,0.833804815,1459,1408,11,10,-0.034955449
Peacham,PEACHAM,PEACHAM,0.601790153,0.711866847,726,729,3,7,0.004132231
Peru,PERU,PERU,0.711168393,0.820012921,371,363,2,2,-0.021563342
Pittsfield,PITTSFIELD,PITTSFIELD,0.8075554,0.807016717,543,548,5,5,0.009208103
Pittsford,PITTSFORD,PITTSFORD,0.883540668,0.903611775,2943,2848,21,25,-0.032279986
Plainfield,PLAINFIELD,PLAINFIELD,1.003519253,0.891634868,1257,1258,11,12,0.000795545
Plymouth,PLYMOUTH,PLYMOUTH,0.422926233,0.782089055,615,610,1,6,-0.008130081
Pomfret,POMFRET,POMFRET,0.382229979,0.606272454,898,878,5,5,-0.022271715
Poultney,POULTNEY,POULTNEY,0.925539637,0.83669044,3387,3340,36,25,-0.013876587
Pownal,POWNAL,POWNAL,0.876372863,0.853475566,3490,3441,29,32,-0.014040115
Proctor,PROCTOR,PROCTOR,0.908356244,0.846543622,1705,1638,17,12,-0.039296188
Putney,PUTNEY,PUTNEY,0.762472167,0.680842783,2700,2639,18,21,-0.022592593
Randolph,RANDOLPH,RANDOLPH,0.971424372,1.047016694,4762,4721,43,48,-0.008609828
Reading,READING,READING,0.916567568,1.099408059,659,648,4,6,-0.016691958
Readsboro,READSBORO,READSBORO,0.806403856,0.993900445,751,739,6,7,-0.015978695
Richford,RICHFORD,RICHFORD,1.290016428,1.272117538,2322,2299,30,28,-0.009905254
Richmond,RICHMOND,RICHMOND,1.069244983,0.534793346,4093,4115,47,20,0.005375031
Ripton,RIPTON,RIPTON,1.017707234,0.779246982,582,588,7,5,0.010309278
Rochester,ROCHESTER,ROCHESTER,0.754487564,1.03984102,1126,1099,15,12,-0.023978686
Rockingham,ROCKINGHAM,ROCKINGHAM,1.168142321,1.238777879,5190,5062,56,62,-0.024662813
Roxbury,ROXBURY,ROXBURY,1.045793279,0.695818279,693,699,5,3,0.008658009
Royalton,ROYALTON,ROYALTON,0.973230235,0.620458622,2771,2811,31,14,0.014435222
Rupert,RUPERT,RUPERT,0.512704815,0.656413371,706,700,7,9,-0.008498584
Rutland City,RUTLANDCITY,RUTLAND CITY,1.028154409,1.534439315,16217,15601,144,247,-0.037984831
Rutland Town,RUTLANDTOWN,RUTLAND TOWN,0.56453612,1.387239199,4040,4061,23,59,0.00519802
Ryegate,RYEGATE,RYEGATE,1.031024327,1.136822281,1164,1112,8,10,-0.04467354
Salisbury,SALISBURY,SALISBURY,0.85215818,1.011214895,1128,1122,9,10,-0.005319149
Sandgate,SANDGATE,SANDGATE,0.351162524,1.354509563,403,394,2,6,-0.022332506
Searsburg,SEARSBURG,SEARSBURG,0.747663551,1.4935964,108,107,2,2,-0.009259259
Shaftsbury,SHAFTSBURY,SHAFTSBURY,0.838581789,0.793731792,3554,3500,34,36,-0.015194147
Sharon,SHARON,SHARON,0.786517693,0.800210724,1497,1520,14,14,0.015364061
Sheffield,SHEFFIELD,SHEFFIELD,1.087697052,1.088108874,700,700,8,11,0
Shelburne,SHELBURNE,SHELBURNE,0.771698243,1.315205833,7449,7726,67,110,0.037186199
Sheldon,SHELDON,SHELDON,1.278582639,0.61264372,2207,2232,26,11,0.011327594
Shoreham,SHOREHAM,SHOREHAM,1.1540319,0.74243443,1268,1256,14,8,-0.009463722
Shrewsbury,SHREWSBURY,SHREWSBURY,0.872803352,1.141990489,1044,1012,7,9,-0.030651341
Somerset,SOMERSET,SOMERSET,0,6.666666667,3,3,0,1,0
South Burlington,SOUTHBURLINGTON,SOUTH BURLINGTON,1.087673439,0.838194701,18400,18971,194,167,0.031032609
South Hero,SOUTHHERO,SOUTH HERO,0.742442245,0.753903412,1634,1597,9,11,-0.022643819
Springfield,SPRINGFIELD,SPRINGFIELD,0.9739245,1.211479837,9284,9044,88,108,-0.025850926
St. Albans City,SAINTALBANSCITY,SAINT ALBANS CITY,1.404171757,0.928925252,6894,6792,85,62,-0.014795474
St. Albans Town,SAINTALBANSTOWN,SAINT ALBANS TOWN,0.984508044,1.205574032,6136,6432,56,81,0.048239896
St. George,SAINTGEORGE,SAINT GEORGE,0.860633738,0.865858438,680,709,5,6,0.042647059
St. Johnsbury,SAINTJOHNSBURY,SAINT JOHNSBURY,1.043212129,1.293015713,7591,7250,78,102,-0.044921618
Stamford,STAMFORD,STAMFORD,0.951759047,0.756577098,818,821,9,3,0.003667482
Stannard,STANNARD,STANNARD,0.726559352,0.547183547,220,222,3,1,0.009090909
Starksboro,STARKSBORO,STARKSBORO,0.971997877,0.530975444,1769,1769,13,9,0
Stockbridge,STOCKBRIDGE,STOCKBRIDGE,0.493044342,0.907451637,733,722,1,11,-0.015006821
Stowe,STOWE,STOWE,0.987446345,0.842607869,4390,4423,43,38,0.007517084
Strafford,STRAFFORD,STRAFFORD,0.435435924,0.83541003,1102,1088,3,10,-0.012704174
Stratton,STRATTON,STRATTON,0.757932955,1.143091805,213,206,1,4,-0.03286385
Sudbury,SUDBURY,SUDBURY,0.584167108,0.983048518,553,543,5,5,-0.018083183
Sunderland,SUNDERLAND,SUNDERLAND,0.777180925,0.693125221,950,955,8,8,0.005263158
Sutton,SUTTON,SUTTON,1.194632796,0.783891579,1030,1010,12,10,-0.019417476
Swanton,SWANTON,SWANTON,1.312521953,0.969138245,6436,6514,91,60,0.012119329
Thetford,THETFORD,THETFORD,0.794591124,0.62499469,2600,2578,20,18,-0.008461538
Tinmouth,TINMOUTH,TINMOUTH,0.749871346,0.848286324,619,606,6,6,-0.021001616
Topsham,TOPSHAM,TOPSHAM,0.933649287,0.933568135,1174,1195,14,15,0.017887564
Townshend,TOWNSHEND,TOWNSHEND,0.852486808,1.591004402,1223,1228,13,22,0.004088307
